course_id,course_name,T1,T2,T3,course_overview,enrolled,rating_count,avg_rating
1,Build Responsive Real World Websites with HTML5 and CSS,HTML,CSS,Web Development,"The easiest way to learn modern web design, HTML5 and CSS step-by-step from scratch. Design AND code a huge project.",3311.9,708.0725852,4
2,"Advanced CSS: Flexbox, Grid, Animations and More!",CSS,,Web Development,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",1793.5,399.0475201,3.5
3,Web Design for Beginners: Real World Coding in HTML & CSS,HTML,CSS,Web Development,"Launch a career as a web designer by learning HTML5, CSS, responsive design  and more!",772.4,198.8009863,4.5
4,The Complete JavaScript Course 2020: Build Real Projects!,JavaScript,OOP,Web Development,"Master JavaScript with the most complete course! Projects, challenges ,JavaScript ES6+, OOP, Webpack.",6104.4,1405.153958,3
5,JavaScript: Understanding the Weird Parts,JavaScript,,Web Development,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",10,1.36239782,3.5
6,Modern JavaScript From The Beginning,JavaScript,OOP,Web Development,Learn and build projects with pure JavaScript (No frameworks or libraries),1497.4,451.557096,5
7,Complete Python Bootcamp: Go from zero to hero in Python 3,Python,,Machine Learning,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,22209.6,6020.288673,4
8,Machine Learning A-Z™: Hands-On Python & R In Data Science,Python,R,Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,917.7,170.5805615,5
9,Python for Data Science and Machine Learning Bootcamp,Python,,Machine Learning,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more.",6092.8,1289.382052,4
10,PHP for Beginners - Become a PHP Master,PHP,,Web Development,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,1467.2,286.5992784,3
11,PHP with Laravel for beginners - Become a Master in Laravel,PHP,,Web Development,Learn to master Laravel to make advanced applications like the real CMS app we build on this course.,707,164.8959192,5
12,PHP: Object Oriented Programming for beginners + Project,PHP,,Web Development,PHP : Learn PHP and Take your skills to another level. Make serious money by building awesome applications.,260,40.18069425,4
13,Machine Learning A-Z,Python,R,Machine Learning,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,167.7,27.2195993,5
